A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: 「老人と海」はとても感動的な本だ。	The Old Man and the Sea is a very exciting book.#ID=326411_77308
A: 老人は丈夫であることが大切である。	It is important for old people to stay strong.#ID=326406_77313
A: 年齢を重ねるにつれ、だんだん遠視になってきている。	I'm getting farsighted as I get older.#ID=326392_77328
A: 故郷の老いた両親のことを考えて見るべきだ。	You must think of your old parents at home.#ID=282231_77333
A: 彼らは労働条件を改善したがっている。	They want to better their working conditions.#ID=326366_77353
A: 労働者は賃上げやより良い労働条件を求めて、ストライキをすることができる。	Workers can go on strike for higher wages, or for better working conditions.#ID=326351_77368
A: アメリカにおいて労働は、生活の非常に重要な部分を占めている。	Work is a very important part of life in the United States.#ID=326336_77383
A: 煉瓦の大部分は粘土からなっている。	Bricks consist mostly of clay.#ID=326291_77428
A: 恋は悲しみに満ちた病であり、あらゆる治療をも薬をも受け付けない。	Love is a sickness full of woes, All remedies refusing.#ID=326275_77444
A: 劣等感―それは正確にはどういうことか。	Inferiority complex - what exactly does that mean?#ID=326262_77457
A: 列車は九時に来てそこへ十時に到着する。	The train leaves at nine, arriving there at ten.#ID=326220_77499
A: 列車は３０分遅れている。	The train is 30 minutes overdue.#ID=326193_77528
A: 列車の中で、最初のうちは彼だと分からなかった。	I didn't recognize him at first on the train.#ID=279192_77535
A: 列車は１０時半に出発するから、１０時にあなたを誘いに行きます。	The train leaves at half past ten, so I'll call for you at ten.#ID=326163_77556
A: 列車が脱線して、約30名の乗客が死傷した。	The train was derailed and about thirty passengers were either killed or injured.#ID=326150_77569
A: 鈴木先生は歴史の専門家です。	Professor Suzuki is an expert historian.#ID=326121_77597
A: 鈴木さんはその日の午後にスピーチをすることになっていた。	Mrs Suzuki was giving a speech that afternoon.#ID=326101_77617
A: 冷蔵庫は食品の腐敗を防ぐ。	The refrigerator preserves food from decay.#ID=326084_77634
A: 冷蔵庫に入れておけば肉は痛まない。	A refrigerator keeps meat fresh.#ID=326076_77642
A: 死体を冷蔵庫に入れて２日くらいです。	It's been about two days since I put the body in the refrigerator.#ID=326075_77643
A: たとえ彼が失敗してもかなうものか。	What if he fails?#ID=326025_77693
A: たとえ君が悪くなくても、謝るべきだ。	Even if you are not to blame, you should apologize.#ID=40769_77695
A: たとえ一日いっぱい掛かってもそのタイプを仕上げます。	Even if it takes me the whole day, I will do the typing.#ID=326022_77696
A: 例えばベルベットモンキーは、輪を描いて飛ぶワシがいるとある種の呼びかけを用いるようになる。ワシはサルを捕食するのだ。	For example, vervet monkeys learn to use a certain call in the presence of circling eagles, who prey on the monkeys.#ID=326020_77698
A: 例えば、ロンドンは今は朝７時です。	For example, it is 7:00 a.m. in London now.#ID=326009_77709
A: 例えば、カメレオンは皮膚の色を変え、回りの木や葉っぱにとけ込むことが出来る。	For example, chameleons can change the color of their skin and blend with the trees and leaves around them.#ID=326006_77712
A: 涙が彼女のほおをつたって流れた。	Tears trickled down her cheeks.#ID=325982_77736
A: 隣の下宿人は月３万円ぐらいで暮らしている。	The lodger next door lives on about 30,000 yen a month.#ID=325940_77778
A: 彼は臨機応変の処置を取った。	He took the proper steps to meet the situation.#ID=1620589_77787
A: 緑の絨毯ではこの青いカーテンと調和しないだろう。	A green carpet won't go well with these blue curtains.#ID=1222708_77802
A: 力を合わせれば、これを終わらせられるだろう。	If we unite our efforts, we will be able to finish this.#ID=325910_77808
A: 彼らは領土の５分の１を支配していた。	They controlled a fifth part of the territory.#ID=325904_77814
A: 良書を読むといつも幸せだと感じる。	I always find contentment in a good book.#ID=325893_77825
A: 良書と悪書を見分けるのは必ずしも容易ではない。	It isn't always easy to know a good book from a bad one.#ID=325890_77828
A: 良質の果物が冬には不足し、値段も高くなる。	Good fruit is scarce in winter, and costs a lot.#ID=325885_77833
A: これはかなり良く練られた計画だったね。	This was quite a well thought-out plan.#ID=325879_77839
A: よき言葉より、よき行いの方が勝る。	Well done is better than well said.#ID=325874_77844
A: ここは天気が良ければとても良い眺めが得られます。	Here, if the weather's good, you can get a lovely view.#ID=325859_77859
A: 良い戦争も悪い平和もあったためしはない。	There never was a good war nor a bad peace.#ID=30062_77864
A: ダニエルさんが良い職を得た。	Daniel got a good job.#ID=928604_77871
A: 良い御返事をお待ちしております。	I am looking forward to receiving your favorable answer.#ID=325835_77883
A: 料理する前にチキンの臓物を抜いてください。	Draw a chicken before cooking.#ID=325775_77943
A: 両方とも好きというわけではない。	I do not like both of them.#ID=325745_77973
A: 両親は赤ん坊をアキラと名づけた。	The parents named their baby Akira.#ID=325718_78000
A: 両親は私にそこへ行かせた。	My parents had me go there.#ID=325690_78028
A: 両親は無理に私をそこへ行かせた。	My parents made me go there.#ID=325689_78029
A: 親に対する子どもの比率が大きくなればなるほど子どもを育てるのは難しくなる。	The higher the ratio of children to parents, the harder it is to bring up the children.#ID=325678_78040
A: ご両親によろしくお伝えください。	Please remember me to your parents.#ID=38887_78043
A: 両親にあなたの計画を知らせてありますか。	Have you acquainted your parents with your plans?#ID=325668_78050
A: 両親が私を自分たちの考え方に変えようとしていた。	My parents tried to convert me to their way of thinking.#ID=325652_78066
A: 旅行者は、そのナイトクラブでむしり取られた。	The tourists were ripped off at the nightclub.#ID=325580_78138
A: 旅行の準備はできていますか。	Are you ready for the trip?#ID=325554_78164
A: 旅行のため、彼は一週間休みます。	His trip will keep him away from the office for a week.#ID=325552_78166
A: 留守の間に田中さんから電話がありました。	Mr Tanaka called during your absence.#ID=325483_78235
A: 僕は留学しています。	I study abroad.#ID=325474_78243
A: 流行に付いて行くことはやめた。	I gave up keeping up with trends.#ID=325463_78250
A: 流行はすぐ変わります。	Fashions change quickly.#ID=325464_78253
A: 立ち聞きする気はなかったが、ついあなたの話が聞こえてしまった。	I didn't mean to eavesdrop, but I did overhear you.#ID=325437_78280
